ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0072001	renal system development	52/1055	269/13249	1.44044488914551e-09	3.07695330720605e-07	2.34952306906131e-07	TGFBR1/COL4A1/GREM1/FGF2/RET/SOX4/TIPARP/CYP26B1/LGR4/SOX8/EPHA7/HNF1B/NKX3-1/MYOCD/SDC4/PDGFB/RDH10/BMP6/RARA/ITGB3/RARB/SMAD7/BMP2/SPRY1/NID1/EPHA4/CRLF1/FOXC2/HOXD11/NOG/ANGPT1/WNT5A/EFNB2/AQP1/PROX1/AGT/GDF6/FGF1/CDKN1C/SALL1/PCSK5/OSR2/TCF21/GCNT4/TEK/WNT9B/MMP9/ADAMTS16/POU3F3/LGR5/LRP2/KCNJ8	52
GO:0010721	negative regulation of cell development	44/1055	208/13249	1.48116211941689e-09	3.07695330720605e-07	2.34952306906131e-07	ULK1/EPHB2/FSTL3/SEMA4G/SKI/EPHA7/TLR4/SEMA7A/TNFAIP6/RARA/SMAD7/PTHLH/RUNX1/BCL6/HLX/SEMA4C/ID2/BTG2/CEBPA/PAX6/SEMA3E/IFNL1/NOG/SNAI2/INHBA/WNT5A/PROX1/WNT7A/IL1A/BRINP1/TRIM46/TNFRSF11B/IFNB1/MAFB/GPR68/DLX2/SEMA3D/TNF/DRAXIN/RGMA/DTX1/CCL3/CLDN18/TLX2	44
GO:0050920	regulation of chemotaxis	37/1055	158/13249	1.60451585980443e-09	3.19432365756065e-07	2.43914560091322e-07	F2RL1/SERPINE1/GREM1/THBS1/FGF2/BMPR2/ITGA2/SEMA4G/CCL2/PDGFB/SEMA7A/CXCL8/TNFAIP6/F3/HSPB1/ST6GAL1/SEMA4C/PLXNA4/C5AR2/SEMA3E/DAPK2/NOVA2/WNT5A/EFNB2/F7/FGF1/CSF1R/SUCNR1/FPR2/TRPV4/SEMA3D/LBP/FGF18/TNFSF14/CCL3/ARTN/VEGFD	37
GO:0007423	sensory organ development	69/1055	414/13249	2.5598587450526e-09	4.89240203354453e-07	3.73577701488519e-07	TGFBR1/COL4A1/EPHB2/NKD1/FGF2/COL5A1/BMPR2/PPP1R13L/SKIL/SKI/RET/CYP26B1/SOX8/COL11A1/SDC4/EGFR/CHRNA9/RDH10/BMP6/NHS/WNT5B/CYP1A1/SOX2/RARA/MAF/RARB/BMP2/SPRY1/LIMK2/ACHE/MEIS2/WNT9A/TBX2/WHRN/CEBPA/CITED2/EPHA4/PAX6/FOXC2/CRYAB/GRHL3/SALL2/NOG/VSTM4/NTF4/INHBA/WNT5A/AQP1/PROX1/NTRK2/WNT7A/SLC44A4/CDKN1C/MFAP2/OSR2/VSX1/MYCL/MAFB/DLX2/WNT9B/MYO7B/TMEM215/SIX3/FAT3/NKX3-2/LGR5/MYOM1/ABCB5/KRT12	69
GO:0043491	phosphatidylinositol 3-kinase/protein kinase B signal transduction	43/1055	206/13249	3.49382215532446e-09	6.42057009928472e-07	4.90266704062939e-07	F2RL1/TGFBR1/NTS/THBS1/SH2B3/FGF2/RET/NKX3-1/ZFP36L1/ERBB3/EGFR/FERMT2/PDGFB/F2R/HBEGF/PTPRJ/F3/PIK3AP1/PIK3C2B/PIK3CD/PEAR1/IGF2/CX3CL1/PLK3/PIK3IP1/SEMA3E/GDF15/ANGPT1/NTRK2/AGT/F7/H19/CSF1R/TMEM100/RASD2/NYAP1/TEK/SFRP5/TNF/CCL3/ROR2/HCLS1/LRP2	43
GO:0050678	regulation of epithelial cell proliferation	53/1055	284/13249	3.66314309222053e-09	6.48240655356655e-07	4.94988458387383e-07	TGFBR1/NRP2/XBP1/THBS1/FGF2/B4GALT1/HMOX1/VDR/CCL2/NKX3-1/ZFP36L1/EGFR/PDGFB/BMP6/NR2F2/TGFBR3/SOX2/F3/ITGB3/SPARC/JCAD/AREG/VASH2/HLX/PIK3CD/SGPP2/IGF2/PAX6/FGFBP1/NOG/ARX/SERPINB5/RUNX2/SNAI2/WNT5A/EFNB2/ATOH8/PROX1/WNT7A/KRT4/FGF1/CDKN1C/RGCC/OSR2/LIMS2/IRF6/A4GNT/TACR1/TEK/PTPRN/TNF/CCL24/VEGFD	53
GO:0048762	mesenchymal cell differentiation	43/1055	208/13249	4.75579495402389e-09	8.02888054836337e-07	6.13075278813585e-07	TGFBR1/PHLDB1/GREM1/COL1A1/NRP2/SEMA4G/NRG1/RET/SOX8/LDLRAD4/FERMT2/SEMA7A/RDH10/SNAI1/ACVR1/KITLG/TGFBR3/SERPINB3/SMAD7/BMP2/FOXA2/SPRY1/SEMA4C/AKNA/CITED2/EPHA4/PAX6/FOXC2/SEMA3E/NOG/GLIPR2/HEY1/SNAI2/WNT5A/EOMES/SP6/AGT/TMEM100/RGCC/MARK1/DACT3/TCF21/SEMA3D	43
GO:0002062	chondrocyte differentiation	27/1055	97/13249	4.97878160251775e-09	8.02888054836337e-07	6.13075278813585e-07	TGFBI/TGFBR1/GREM1/CHST11/CCN2/BMPR2/COL11A1/CREB3L2/BMP6/WNT5B/MAF/RARB/SMAD7/PTHLH/RUNX1/BMP2/PKDCC/ARID5A/WNT9A/RUNX2/SNAI2/GDF6/WNT7A/TRPS1/OSR2/NKX3-2/FGF18	27
GO:0009611	response to wounding	71/1055	438/13249	5.04115563940773e-09	8.02888054836337e-07	6.13075278813585e-07	F2RL1/SERPINE1/TGFBR1/XBP1/THBS1/EPHB2/SH2B3/ITGA5/CCN2/FGF2/CCN1/ELK3/TPM1/COL5A1/ITGA2/TNFRSF12A/TFPI2/B4GALT1/CLDN4/NRG1/HMOX1/INHBB/CDKN1A/HNF4A/VAV3/DPYSL3/ZFP36L1/SDC4/ERBB3/FERMT2/MAP1B/TLR4/VAV2/PDGFB/F2R/HBEGF/ANXA8/PLAUR/FOSL1/SOX2/F3/ITGB3/MMP2/HSPB1/FOXA2/PEAR1/GIPR/CX3CL1/SLC1A3/HOXB13/RTN4RL1/VIL1/EPHA4/PAX6/FOXC2/GRHL3/NOG/WNT5A/AQP1/MYOZ1/F7/WNT7A/IL1A/FGF1/P2RY1/F13A1/PCSK1/TNF/SYT11/PDIA2/RGMA	71
GO:0003013	circulatory system process	69/1055	423/13249	6.41079245790129e-09	9.52523180672611e-07	7.27334789762567e-07	F2RL1/NTS/GJA1/TPM1/BMPR2/PPP1R13L/IER3/SLC7A1/SLC2A3/FERMT2/P2RY2/HTR1D/PDGFB/F2R/HBEGF/PTPRJ/NCALD/HRH1/BMP6/NR2F2/NAV2/TJP3/STC1/MMP2/SMAD7/PER2/ADM/KLF2/CYP4F12/ID2/KCNJ2/CORO2B/TBX2/SLC1A3/ADORA2B/FOXC2/OLR1/ANGPT1/SLC7A8/VSTM4/FGF12/PTGS1/SGCZ/AGT/DRD1/KCNJ12/SUCNR1/P2RY1/OR51E2/KCNMB4/PCSK5/ACTC1/TACR1/TRPV4/TEK/TNF/NOX1/ADAMTS16/PTAFR/HTR7/SLC28A2/SLC15A2/SLC2A4/NPY1R/CELF2/SLC6A20/LRP2/NTSR1/KCNJ8	69
GO:0030198	extracellular matrix organization	47/1055	241/13249	6.65662719043976e-09	9.52523180672611e-07	7.27334789762567e-07	ELF3/TGFBI/TGFBR1/PHLDB1/COL4A1/GREM1/COL1A1/FURIN/CCN1/COL5A1/ADAMTS15/B4GALT1/COL4A2/COL11A1/ITGB3/MMP2/RUNX1/BMP2/ADAMTS9/COL12A1/COL22A1/HMCN1/TLL1/NID1/FOXC2/KAZALD1/SERPINB5/MMP16/LUM/CRISPLD2/AGT/MMP3/ADAMTSL3/COL15A1/TNFRSF11B/ABI3BP/RGCC/FLRT2/ADAMTS14/MMP10/LCP1/TNF/ADAMTSL1/NOX1/MMP9/ADAMTS16/MMP1	47
GO:0043062	extracellular structure organization	47/1055	241/13249	6.65662719043976e-09	9.52523180672611e-07	7.27334789762567e-07	ELF3/TGFBI/TGFBR1/PHLDB1/COL4A1/GREM1/COL1A1/FURIN/CCN1/COL5A1/ADAMTS15/B4GALT1/COL4A2/COL11A1/ITGB3/MMP2/RUNX1/BMP2/ADAMTS9/COL12A1/COL22A1/HMCN1/TLL1/NID1/FOXC2/KAZALD1/SERPINB5/MMP16/LUM/CRISPLD2/AGT/MMP3/ADAMTSL3/COL15A1/TNFRSF11B/ABI3BP/RGCC/FLRT2/ADAMTS14/MMP10/LCP1/TNF/ADAMTSL1/NOX1/MMP9/ADAMTS16/MMP1	47
GO:0048880	sensory system development	54/1055	297/13249	6.77810551336726e-09	9.52523180672611e-07	7.27334789762567e-07	TGFBR1/COL4A1/EPHB2/NKD1/FGF2/COL5A1/BMPR2/PPP1R13L/SKIL/SKI/RET/SOX8/EGFR/RDH10/BMP6/NHS/WNT5B/CYP1A1/SOX2/RARA/MAF/RARB/SPRY1/LIMK2/ACHE/MEIS2/WNT9A/TBX2/CITED2/PAX6/FOXC2/CRYAB/GRHL3/SALL2/VSTM4/INHBA/WNT5A/AQP1/PROX1/NTRK2/WNT7A/SLC44A4/CDKN1C/MFAP2/OSR2/VSX1/DLX2/WNT9B/TMEM215/SIX3/FAT3/MYOM1/ABCB5/KRT12	54
GO:0030900	forebrain development	55/1055	307/13249	8.44149462133051e-09	1.15238460859192e-06	8.79946476918242e-07	NRP2/EPHB2/FGF2/DLC1/KDM6B/SKI/INHBB/ADGRG1/EGFR/LHX8/FOXP1/SEMA7A/BMERB1/NR2F2/NR0B1/NUMBL/SOX2/RARA/RARB/BMP2/DIXDC1/MDGA1/ID2/PLXNA4/BTG2/CHD5/DCLK1/RTN4RL1/AKNA/PAX6/EFNA2/SEMA3E/NOG/ARX/SLITRK5/CDK5R1/INHBA/WNT5A/EOMES/AQP1/PROX1/NTRK2/EPHB3/WNT7A/DRD1/EPHA5/CSF1R/SALL1/TOX/DLX2/PCSK1/SIX3/POU3F3/DRAXIN/LRP2	55
GO:0045229	external encapsulating structure organization	47/1055	243/13249	8.76164327038463e-09	1.16286476516383e-06	8.8794899342553e-07	ELF3/TGFBI/TGFBR1/PHLDB1/COL4A1/GREM1/COL1A1/FURIN/CCN1/COL5A1/ADAMTS15/B4GALT1/COL4A2/COL11A1/ITGB3/MMP2/RUNX1/BMP2/ADAMTS9/COL12A1/COL22A1/HMCN1/TLL1/NID1/FOXC2/KAZALD1/SERPINB5/MMP16/LUM/CRISPLD2/AGT/MMP3/ADAMTSL3/COL15A1/TNFRSF11B/ABI3BP/RGCC/FLRT2/ADAMTS14/MMP10/LCP1/TNF/ADAMTSL1/NOX1/MMP9/ADAMTS16/MMP1	47
GO:0001654	eye development	53/1055	292/13249	9.95284367370352e-09	1.28526181278258e-06	9.81409848451107e-07	TGFBR1/COL4A1/EPHB2/NKD1/FGF2/COL5A1/BMPR2/PPP1R13L/SKIL/SKI/RET/SOX8/EGFR/RDH10/BMP6/NHS/WNT5B/CYP1A1/SOX2/RARA/MAF/RARB/SPRY1/LIMK2/ACHE/MEIS2/WNT9A/TBX2/CITED2/PAX6/FOXC2/CRYAB/GRHL3/SALL2/VSTM4/INHBA/WNT5A/AQP1/PROX1/NTRK2/WNT7A/CDKN1C/MFAP2/OSR2/VSX1/DLX2/WNT9B/TMEM215/SIX3/FAT3/MYOM1/ABCB5/KRT12	53
