"GeneName"	"padj"	"pvalue"	"lfcSE"	"stat"	"log2FoldChange"	"baseMean"
"FXYD6-FXYD2"	3.32130037133644e-29	1.36203602843535e-30	0.10224109091075	-11.497238523748	-1.17549020912909	643.529456965465
"MN1"	3.58470449126988e-29	1.47397066669918e-30	0.102320109191018	11.4904179517599	1.17570081947451	417.846081376312
"DEPTOR"	3.76964184647872e-29	1.55207227229015e-30	0.123950416605838	-11.4859569818458	-1.42368915301652	298.393563788831
"ESAM"	4.51060626559004e-29	1.85961215012313e-30	0.136174957664154	11.4703242294889	1.56197091634478	275.865931939933
"RAET1G"	5.45007894185828e-29	2.25288579642151e-30	0.117452123133911	11.4537114549306	1.34526272814479	335.45299259348
"TRERF1"	6.88570003144488e-29	2.85384498654872e-30	0.0946322954294252	-11.4332028410654	-1.08195022896024	590.832024325593
"SEC14L2"	8.84826516990118e-29	3.69140751914187e-30	0.100680510495825	11.4108414936186	1.14884934676446	436.353284103826
"GIPR"	2.33234488277316e-28	9.80672505725624e-30	0.143908307675359	11.3255448003721	1.62983998572302	208.429885723723
"SH3RF2"	3.30386618788273e-28	1.39638094764442e-29	0.106402178976046	-11.2945369353438	-1.20176334044601	467.757130330723
"C3orf80"	3.80118277734364e-28	1.60864776521669e-29	0.109573461052423	11.2820971073816	1.23621842798533	467.275199547271
"BEAN1"	4.34820038849833e-28	1.84489253637482e-29	0.178939310444781	11.270038480288	2.01665291434887	211.280377157762
"RELB"	5.22430998621249e-28	2.222321563512e-29	0.0919767997054322	11.253638208712	1.0350736274801	594.748493251596
"TSPAN5"	7.9514426332333e-28	3.39107557284727e-29	0.0935250667803677	11.2163151785256	1.04900662610126	550.682290327553
"LINP1"	7.98173071306869e-28	3.40835112631448e-29	0.0903305125775749	-11.2158656441396	-1.01313489263635	627.354277528615
"INS-IGF2"	8.46192973179297e-28	3.61802598153983e-29	0.158719007018674	11.2105829500625	1.7793325939344	203.065712735207
"DIO2"	1.05010857923531e-27	4.51283488154965e-29	0.0982358664864951	-11.1910061271588	-1.09935818375712	618.512258776993
"BTG2"	1.08936117632298e-27	4.68747123323598e-29	0.100089066898192	11.1876393944803	1.11976038778698	539.776108934789
"IL7R"	1.44070674072251e-27	6.22289647742861e-29	0.214692159193296	11.1624828634933	2.39649754792154	112.08352249685
"VTCN1"	1.49052961110841e-27	6.44623738326797e-29	0.204513166914758	-11.1593482975896	-2.28223366104485	130.08064171401
"CORO2B"	1.5247048827076e-27	6.6023642875942e-29	0.160467953221169	11.1572204212817	1.7903763246405	180.845546100561
"TBX2"	1.54528155126388e-27	6.69990472180156e-29	0.103092588405618	11.1559162207186	1.1500922792301	472.528990684885
"NFIL3"	1.65461949669189e-27	7.20106885198186e-29	0.102790835495482	-11.1494989751252	-1.14606631500914	491.326472178523
